序号,中文,英文,阿语,土耳其,印尼语,俄语,韩语,葡萄牙语,泰语,西班牙语,印地语,越南语 ,乌尔都语
7,密码错误,Password error,خطأ في كلمة مرور,Yanlış şifre,Sandi salah,неправильный пароль,잘못된 비밀번호,senha incorreta,รหัสผ่านผิด,contraseña incorrecta,गलत पासवर्ड,sai mật khẩu,غلط پاس ورڈ
8,您的网络开小差了，请重试!,"The network error, try again!","الشبكة غير موجود,يرجي محاولة مرة اخرى","Ağ hatası, tekrar deneyin!","Koneksi eror, coba lagi!","Ошибка сети, повторите","네트워크 이상합니다,다시 시도하십시오","O erro de rede, tente novamente!",เครือข่ายผิดปกติ โปรดลองอีกครั้ง,"La red es anormal, intente nuevamente","नेटवर्क में त्रुटि, पुनः प्रयास करें","Lỗi mạng, xin thử lại",نیٹ ورک میں خرابی، دوبارہ کوشش کریں!
9,平台奖励,Platform Reward,مكافأة,Platform Ödülü,Hadiah Aplikasi,Награда от платформы ,플랫폼 장려,Recompensa em dinheiro,รางวัลแพลตฟอร์ม,Recompensas de plataforma,पैसे इनाम,Giải thưởng bệ,پلیٹ فارم کے انعامات
10,手机号码格式错误,Phone number is invalid, صياغة رقم الهاتف غير صحيح.,Telefon numarası formatı hatalı,Format nomor telepon anda salah,Ошибка формы номера мобильного телефона,핸드폰 번호 형식 틀렸음,O número de telefone é inválido,รูปแบบหมายเลขโทรศัพท์ไม่ถูกต้อง,Formato de número de teléfono incorrecto,फ़ोन नंबर अमान्य है,Số điện thoại không hợp lệ,فون نمبر غلط ہے 
11,此用户不存在,User does not exist,المستخدم غير موجود,Kullanıcı mevcut değil.,pengguna tidak ada,Данного пользователя не было,이 사용자는 존재하지 않음,Usuário não existe,ไม่มีผู้ใช้รายนี้,Este usuario no existe,उपयोगकर्ता (यूज़र) मौजूद नहीं है,Người dùng không tồn tại,اس صارف کا کوئی وجود نہیں ہے
12,登录,Login,تسجيل الدخول,Oturum Aç,Login,Войти,로그인,Login ,เข้าสู่ระบบ,Iniciar sesión,लॉग इन करें,Đăng nhập,لاگ ان کریں
13,其他登录方式,Other login methods,طرق تسجيل الدخول الأخرى,Diğer Giriş Yöntemleri,Metode lainnya,Другой способ доступа ,기타 로그인 방식,Outros métodos de login,วิธีการเข้าสู่ระบบอื่น ๆ,Otros métodos de inicio de sesión,अन्य लॉग इन विधियाँ,Cách đăng nhập khác,لاگ ان کے دیگر طریقہ کار
14,请输入手机号码,Please enter your phone number,يرجي الادخال رقم الهاتف,Lütfen telefon numaranızı girin,Masukkan nomor ponsel,Вводите твой номер мобильного телефона! ,전화번호 입력하세요,Digite seu número de telefone,กรุณาใส่หมายเลขโทรศัพท์มือถือ,Introdece el número de teléfono,अपना फोन नंबर दर्ज करें,Hãy nhập số điện thoại của bạn,براہ مہربانی اپنا موبائل نمبر داخل فرمائیں
15,密码,Password,كلمة المرور,Şifre,Sandi,Пароль,비밀번호,Senha,รหัสผ่าน,Contraseña,पासवर्ड,Mật khẩu,پاسورڈ
16,设置一个清晰的头像可以大大提高匹配成功率！,Setting a clear avatar can greatly increase the matching success rate！,يمكنك ارتفاع معدل النجاح للمطابقة باستخدام صورة الملف الواضحة,"Net bir avatar seçimi, eşleşmenin başarı oranını büyük ölçüde artırır! ",Menetapkan gambar profil yang jelas dapat sangat meningkatkan tingkat keberhasilan pencocokan!,Установка четкого изображения профиля может значительно увеличить вероятность успешного совпадения!,명확한 프로필 사진을 설정하면 일치 성공률을 크게 높일 수 있습니다!,Definir uma imagem de perfil nítida pode aumentar muito a taxa de sucesso de correspondência!,การตั้งรูปโปรไฟล์ที่ชัดเจนสามารถเพิ่มอัตราความสำเร็จสูงขึ้นในการจับคู่,¡Establecer una imagen de perfil clara puede aumentar enormemente la tasa de éxito de las coincidencias!,एक स्पष्ट प्रोफाइल पिक्चर सेट करने से मैचिंग सक्सेस रेट बढ़ सकता है!,Đặt ảnh hồ sơ rõ ràng có thể làm tăng tỷ lệ thành công đối sánh!,واضح پروفائل تصویر ترتیب دینے سے ملاپ کی کامیابی کی شرح میں بہت اضافہ ہوسکتا ہے!
17,去设置,Go to set,اشغل الاعدادات,Ayarlara Git,Pergi ke set,Перейти к установке,설정으로 이동,Vá para definir,ไปที่การตั้งค่า,Ir al set,सेट पर जाओ,đi đặt,سیٹ پر جائیں
18,用户正在等你匹配，快点上线吧!,Many users are waiting for you to match，Go online now！,ينتظر المستخدمون المطابقة معك.يلا بنا نسجل الدخول,"Seninle eşleşmeyi bekleyen kullanıcılar var, hemen online ol!","Pengguna menunggu Anda untuk mencocokkan, cepat, dan online!","Пользователь ждет от вас совпадения, торопитесь и выходите в онлайн!",사용자는 당신이 매치되기를 기다리고 있습니다.,"O usuário está esperando por você para combinar, se apressar e ficar online!",ผู้ใช้กำลังรอให้คุณจับคู่รีบออนไลน์เลย!,"El usuario está esperando a que coincida, ¡apúrate y conectate!","उपयोगकर्ता आपके मिलान, जल्दी करने और ऑनलाइन जाने की प्रतीक्षा कर रहा है!","Người dùng đang chờ bạn phù hợp, nhanh lên và lên mạng!",صارف آپ کے میچ ، جلدی اور آن لائن جانے کا منتظر ہے!
19,等待接听,Waiting to connect,في انتظار الرد,Yanıt bekleniyor.,Menunggu jawaban,Жду ответа,답변을 기다리는 중,Esperando para responder,รอตอบครับ,Esperando para contestar,जवाब का इंतजार है,Chờ đợi để trả lời,جواب دینے کا انتظار ہے
20,对方的网络异常,The other party's network is abnormal,شبكة الطرف الآخر غير طبيعية,Karşı tarafta bağlantı sorunu var.,Jaringan pihak lain tidak normal,Сеть абонента ненормальная,상대방의 네트워크가 비정상입니다.,A rede da outra parte está anormal,เครือข่ายของอีกฝ่ายผิดปกติ,La red de la otra parte es anormal,दूसरे पक्ष का नेटवर्क असामान्य है,Mạng của bên kia không bình thường,دوسری پارٹی کا نیٹ ورک غیر معمولی ہے
21,在线匹配,Online matching,مباراة عبر الإنترنت,Online eşleşme,Pertandingan online,Онлайн-матч,온라인 경기,Jogo online,การแข่งขันออนไลน์,Partido online,ऑनलाइन मैच,Trận đấu trực tuyến,آن لائن میچ
1,正在为你随机匹配中，别走开,Matching randomly for you，Don't leave,جري الاقتران عشوائيا.لا تخرج.,"Rastgele eşleştiriliyorsunuz, lütfen ayrılmayın.","Cocok secara acak untuk Anda, jangan pergi","Подходит для вас случайным образом, не уходите",너에게 무작위로 맞춰져 떠나 지마,"Está combinando aleatoriamente para você, não vá embora",สุ่มจับคู่ให้คุณอย่าหายไปไหน,"Es una coincidencia aleatoria para ti, no te vayas","आपके लिए बेतरतीब ढंग से मेल खा रहा है, दूर मत जाओ","Đối sánh ngẫu nhiên cho bạn, đừng biến mất",آپ کے ساتھ تصادفی طور پر میل کھا رہا ہے ، دور نہ جانا
2,点击这里赠送礼物,Click here to send gifts,انقر هنا لإرسال الهدايا,Hediye göndermek için tıkla,Klik di sini untuk mengirim hadiah,"Нажмите здесь, чтобы отправить подарки",선물을 보내려면 여기를 클릭하세요,Clique aqui para enviar presentes,คลิกที่นี่เพื่อส่งของขวัญ,Haga clic aquí para enviar regalos,उपहार भेजने के लिए यहां क्लिक करें,Bấm vào đây để gửi quà,انقر هنا لإرسال الهدايا
